rn,B6_x_cast_1xE3_5_bla_1,B6_x_cast_1xE3_5_bla_2,B6_x_cast_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_1,cast_x_B6_1xE3_5_bla_2,cast_x_B6_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_5,cast_x_B6_1xE3_5_bla_7
2310016D03Rik,15,0,0,0,0,0,0,0
Tmem18,279,142,213,149,244,329,176,59
Acp1,559,483,658,492,832,1131,544,553
Sh3yl1,39,11,54,7,90,121,63,36
6030469F06Rik,2,0,0,0,0,14,1,1
Lamb1,3887,2269,2636,1672,1437,2927,2679,2134
Dld,711,451,748,742,488,1008,497,550
Cbll1,354,231,287,533,249,199,253,196
Bcap29,225,188,131,372,485,203,298,212
Dus4l,73,29,62,188,52,28,98,50
Cog5,141,187,145,367,161,160,111,234
Hbp1,273,76,186,466,189,208,174,146
Nampt,229,196,164,529,389,373,340,155
Gdap10,34,0,39,8,13,8,0,23
Sypl,563,184,270,406,725,671,586,462
F730043M19Rik,35,16,16,0,14,22,16,21
Atxn7l1,707,709,706,199,1063,1035,672,513
Snx13,246,154,202,344,154,235,334,57
Ahr,59,4,8,0,0,18,96,13
Tspan13,20,0,39,9,0,67,8,0
Bzw2,2726,2946,1814,999,2476,3053,2557,1314
Ankmy2,392,325,373,70,682,374,490,277
Lrrc72,5,4,3,1,9,1,6,24
Ispd,125,57,30,1,25,41,4,19
Meox2,0,0,0,0,0,0,0,0
Etv1,135,74,39,37,40,60,45,41
Arl4a,333,273,496,266,387,470,218,368
Scin,44,49,4,0,15,4,30,0
Ifrd1,1891,1441,1875,1752,2549,1287,1503,904
Zfp277,310,248,204,376,290,444,307,394
Dock4,53,74,93,91,115,70,100,84
Immp2l,45,47,22,86,56,85,90,21
Lrrn3,0,0,1,329,1,0,0,0
Gm2027,34,21,33,154,75,38,127,42
Pnpla8,725,559,597,1130,909,701,609,660
Nrcam,6,3,0,0,11,11,0,19
Stxbp6,286,224,246,87,262,198,127,105
G2e3,364,272,463,311,187,334,111,370
Scfd1,820,429,929,1035,574,880,672,505
Coch,0,0,0,2,2,1,26,71
Strn3,990,764,945,1733,1183,691,789,682
Ap4s1,590,315,370,428,759,832,696,562
Hectd1,3578,2740,2530,3855,2936,2478,2598,2257
Heatr5a,407,288,423,754,628,337,549,302
Dtd2,686,632,994,321,1160,1355,1188,1247
Nubpl,221,317,322,126,202,619,287,289
Arhgap5,1108,623,671,2665,1375,574,1128,660
1700031P21Rik,0,0,0,2,0,0,0,1
Npas3,3,0,3,14,2,13,33,1
Egln3,2,86,5,0,0,41,90,5
1700104L18Rik,59,0,0,0,0,1,0,2
Sptssa,811,844,1216,1016,1860,1925,1155,1156
Eapp,1628,1021,1147,506,1227,1282,922,885
Snx6,4279,3776,4266,2198,4204,4611,3950,3592
Cfl2,1023,786,1524,1063,1720,2163,1541,1042
Baz1a,6349,4123,4213,2994,3453,3162,4071,2301
2700097O09Rik,362,272,371,559,454,512,430,297
Srp54a,73,31,56,89,72,48,34,18
Srp54c,46,25,41,7,57,37,46,19
Ppp2r3c,220,228,208,221,254,303,256,203
1110008L16Rik,678,412,519,375,785,352,726,312
Psma6,12153,7947,15383,6641,19151,28608,17216,12014
Nfkbia,167,92,210,8,135,196,103,64
Ralgapa1,347,230,250,1172,535,203,304,322
Brms1l,300,218,375,162,272,234,472,205
Mbip,222,137,163,162,419,246,225,185
Nkx2-9,19,0,0,0,7,0,0,0
Slc25a21,0,23,30,0,40,0,76,13
Prps1l3,1177,934,1044,1116,1104,1679,997,641
Mipol1,157,125,38,16,29,43,40,102
