rn,B6_x_cast_1xE3_5_bla_1,B6_x_cast_1xE3_5_bla_2,B6_x_cast_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_1,cast_x_B6_1xE3_5_bla_2,cast_x_B6_1xE3_5_bla_3,cast_x_B6_1xE3_5_bla_5,cast_x_B6_1xE3_5_bla_7
Rhod,268,199,285,5,509,584,316,152
Pcx,43,102,226,3,194,256,128,212
Rce1,376,225,543,175,760,1791,680,593
Gm960,4,6,13,2,24,11,25,54
Sptbn2,1123,767,525,97,393,532,594,425
Rbm4b,303,172,154,898,293,167,318,168
Rbm4,32,20,38,25,17,23,11,19
Rbm14,1054,811,1117,317,1086,527,899,543
Ccs,634,494,664,204,1033,585,749,630
Ctsf,0,0,0,46,1,23,0,0
Actn3,0,5,0,29,0,21,4,5
Zdhhc24,109,92,60,9,54,63,45,62
Bbs1,55,26,99,38,17,13,92,12
Dpp3,1349,1643,2489,420,2114,1723,2036,1593
Mrpl11,4689,4096,4891,2599,4224,4279,3342,2462
Slc29a2,402,284,54,160,338,235,194,136
B4gat1,404,177,166,375,233,284,316,203
Rin1,369,51,90,85,190,139,89,39
Yif1a,2694,2046,3546,1039,4699,6279,2785,2495
Cnih2,23,3,4,0,0,1,0,6
Rab1b,5657,5570,7826,1017,5958,12950,7451,5080
Pacs1,170,258,209,152,146,215,193,146
Sf3b2,4329,3253,4025,1674,3973,2296,3142,2889
Gal3st3,31,62,36,18,174,34,157,90
Cst6,100,124,61,0,69,136,89,24
Banf1,24330,14885,17783,7844,23387,27381,20245,15740
Eif1ad,5299,3397,5186,1239,4506,6910,6084,2834
Sart1,702,857,824,302,798,365,690,318
D330050I16Rik,20,11,19,0,2,0,0,7
4930481A15Rik,521,365,306,318,427,431,346,348
Drap1,79,43,58,11,84,29,41,40
AI837181,296,371,301,84,561,225,362,288
Fosl1,0,0,0,0,0,0,2,0
Ccdc85b,131,156,173,178,138,57,463,96
Fibp,1230,838,1111,495,1063,1723,1202,915
Efemp2,60,12,11,5,101,23,42,55
Mus81,741,345,554,100,289,666,393,244
Cfl1,3749,3274,3897,1016,3636,4153,3542,2523
Snx32,15,1,21,0,0,5,13,34
Ovol1,884,443,519,19,186,1387,130,215
Ap5b1,35,49,47,0,28,105,6,25
Rnaseh2c,1446,775,1464,539,1559,1362,1498,1027
Kat5,161,131,318,66,289,191,191,223
Rela,652,431,506,267,564,611,542,249
Sipa1,107,85,68,271,357,102,274,131
Pcnx3,940,534,669,453,1009,901,1012,524
Map3k11,332,354,288,90,508,266,360,263
Fam89b,84,39,14,32,31,109,66,41
Sssca1,4813,3098,3746,1000,3662,5072,3181,3120
Ltbp3,12,3,35,22,17,47,62,45
Scyl1,367,270,656,201,289,350,370,147
Malat1,145673,95843,87430,22031,72819,96786,45352,82828
Neat1,2452,1216,700,1691,1735,1733,1360,1567
Frmd8,910,1207,1148,447,1744,856,1198,1335
Slc25a45,19,0,1,0,136,0,18,0
Dpf2,643,487,670,565,894,584,725,524
Cdc42ep2,75,209,101,0,222,271,24,34
Pola2,301,180,205,206,130,383,385,111
Slc22a20,145,54,80,111,323,132,34,91
Capn1,246,285,169,32,277,137,173,158
Syvn1,1362,771,989,632,1418,2073,1324,1127
Mrpl49,1763,1419,2005,1246,2146,3067,1819,1547
Fau,5065,3849,4038,1338,3846,3720,4280,2252
Znhit2,1278,830,772,668,1138,1217,1324,919
Vps51,1284,1264,1234,509,1561,821,1450,806
BC048609,2,2,3,0,8,42,9,7
Zfpl1,689,430,647,57,912,959,785,513
Cdca5,1483,843,1689,889,1730,1788,1311,1419
Sac3d1,908,915,1164,421,1268,1475,1597,913
Snx15,585,461,668,132,396,740,702,633
Arl2,3923,2355,3951,525,3570,5052,3944,3152
Batf2,0,14,0,0,0,14,47,0
Majin,3,12,31,44,121,33,57,11
Gpha2,741,357,784,295,916,2396,996,770
Ppp2r5b,172,102,145,25,176,137,166,176
Atg2a,3762,3635,5103,1616,5273,3364,5396,3733
Ehd1,1391,1348,1147,443,1419,1112,1313,1026
Cdc42bpg,172,93,37,98,119,47,42,22
Men1,400,233,431,236,319,366,291,286
Map4k2,109,73,64,154,170,63,103,96
Sf1,2737,2009,2022,1380,1417,1231,1671,899
Pygm,92,26,20,3,20,0,10,15
Rps6ka4,285,273,116,116,389,237,431,236
Ccdc88b,6,0,1,0,14,0,22,1
Trmt112,827,698,816,193,990,1242,1011,807
Esrra,241,267,112,79,209,52,109,109
Tex40,66,25,46,0,191,33,194,37
Gpr137,258,275,288,127,342,199,418,193
Bad,3034,3234,3418,557,4263,5710,3312,3639
Plcb3,732,887,760,334,1448,486,923,977
Vegfb,237,196,80,185,129,90,100,47
Dnajc4,1060,738,952,433,1451,839,631,1032
Nudt22,434,675,502,168,488,240,271,287
Trpt1,453,408,379,119,688,222,269,309
Fermt3,111,28,15,19,5,11,23,14
Stip1,8553,8256,10646,1449,15020,6910,12526,8286
Macrod1,59,24,7,23,233,97,56,51
Flrt1,178,102,82,302,478,27,196,134
Otub1,2512,2461,3021,1116,3622,4869,2686,2109
Cox8a,21657,15440,14472,16151,27472,24349,18445,16737
Naa40,1050,748,935,703,1737,907,1537,978
Mark2,422,209,258,232,320,136,248,363
AI846148,81,119,114,80,107,47,125,83
Rtn3,1314,967,883,1103,1069,1280,756,1252
Atl3,202,285,290,214,306,291,123,228
Pla2g16,319,144,295,92,668,383,558,321
Slc22a27,0,0,0,0,0,0,0,0
Slc3a2,7786,4038,5558,2196,6530,9720,6145,4415
Snhg1,2052,1203,1154,3355,1726,924,1801,1179
Wdr74,6378,4375,6875,1676,6234,8927,8382,5242
Stx5a,683,602,967,375,938,1443,536,807
LOC102640359,16,2,6,0,27,10,14,16
Nxf1,2159,1220,1697,940,1776,2439,1867,1598
Tmem223,1168,787,987,412,1247,1169,1141,814
Tmem179b,690,351,619,830,1109,1171,803,747
Taf6l,131,125,216,2,88,272,229,220
Gm2518,2,3,0,0,12,1,0,33
Polr2g,1078,654,1082,451,1279,2282,986,1292
Ttc9c,647,342,286,295,375,388,353,298
Hnrnpul2,678,496,492,580,748,434,542,456
Gng3,0,8,13,0,14,5,0,15
Bscl2,618,283,381,283,527,507,161,300
Ubxn1,11746,8613,9472,4118,10360,8062,10177,6980
Uqcc3,2459,1928,1891,2281,2609,2238,2360,2084
Lbhd1,0,0,0,0,3,0,2,2
5730408K05Rik,655,229,255,369,160,239,194,211
1810009A15Rik,1239,807,921,342,832,955,773,520
Ints5,1701,959,1272,408,1093,1068,1424,1107
Ganab,1679,883,1095,1502,1860,1379,1593,1124
B3gat3,682,446,400,230,565,379,460,444
Eml3,289,288,270,237,383,262,415,217
Mta2,907,583,742,214,509,585,600,481
Tut1,480,373,521,136,499,291,293,316
Eef1g,3180,2287,2700,1979,2686,2659,2512,1774
Ahnak,6800,3585,2757,4333,4076,4530,2694,3690
Asrgl1,342,128,270,142,386,179,27,87
Incenp,1819,1381,2328,743,1445,1385,1381,1374
Rab3il1,1864,1464,1814,590,1113,1698,898,1296
Fads3,16,10,20,60,123,103,100,0
Fads1,51,15,22,202,65,190,62,58
Fen1,450,244,492,401,498,376,515,286
Tmem258,7735,5009,4190,5247,5353,6372,5199,4382
Myrf,0,0,4,43,4,0,0,0
Ppp1r32,0,17,13,0,18,0,0,27
Sdhaf2,1598,1226,1418,1272,1576,2186,1231,1243
Cpsf7,523,270,329,641,259,348,532,283
Tmem216,87,42,61,159,169,181,115,153
Tmem138,983,522,575,622,1099,728,626,586
Cyb561a3,562,268,829,775,1247,687,717,1031
Tkfc,111,21,34,186,88,8,61,141
Ddb1,2782,2000,2543,1789,3167,2662,2678,1998
Vwce,47,6,41,1,34,4,1,0
Pga5,85,66,84,0,0,176,15,40
Vps37c,125,404,302,12,218,413,212,207
Tmem132a,60,1,54,3,90,21,58,8
Tmem109,404,309,214,163,244,514,176,189
Prpf19,3830,3062,3785,1792,3083,2583,3470,2326
Ptgdr2,0,1,9,0,0,2,0,4
Ccdc86,1146,901,1282,169,817,1125,754,455
Ms4a10,36,0,61,55,225,24,47,22
4930526L06Rik,0,0,0,0,0,0,0,0
Ms4a1,94,0,0,0,0,2,7,0
Mrpl16,1210,588,1156,885,918,1399,981,765
Stx3,3499,3097,1705,1267,1112,2425,1357,1197
Patl1,300,197,207,578,234,114,161,213
Osbp,573,545,388,618,581,263,459,386
Mpeg1,40,0,4,43,0,14,14,2
Dtx4,0,0,1,1,0,0,7,10
Fam111a,28,12,18,33,39,0,22,23
A330040F15Rik,0,1,0,0,0,0,13,7
Gm4952,0,0,0,0,0,0,0,0
Cntf,2,0,5,0,4,0,6,1
Zfp91,625,411,383,477,454,262,551,365
Lpxn,3,18,0,0,0,28,24,3
Tle4,2083,1554,1565,2184,1100,1717,1282,822
Psat1,1929,3172,4341,2026,2847,2164,3098,1041
Cep78,120,194,122,155,108,131,117,44
C130060C02Rik,1,8,0,0,6,0,0,0
Gnaq,329,387,315,519,144,235,269,194
E030024N20Rik,128,124,175,417,202,54,93,149
Gna14,13,5,23,4,25,8,0,5
Vps13a,1275,841,951,1061,1043,808,723,791
Prune2,45,116,30,17,30,30,121,27
Gcnt1,2100,1244,1612,1658,2598,1875,1423,1818
Rfk,5773,6365,9146,3849,9732,10726,8232,6804
Pcsk5,13,19,0,4,6,3,0,0
Ostf1,4304,3340,3452,1555,4953,4444,2842,2654
Nmrk1,723,758,453,923,854,482,432,477
Carnmt1,160,81,113,43,92,111,112,67
D030056L22Rik,337,144,233,504,265,330,269,213
Trpm6,827,583,574,903,514,579,429,542
Aldh1a1,0,0,22,0,0,0,0,0
Tmc1,1,15,4,0,0,9,1,10
Zfand5,1941,1256,1545,843,967,1540,1614,872
Gda,57,0,10,0,0,3,0,4
1110059E24Rik,3672,2512,2752,1319,3639,3730,2132,2516
Abhd17b,289,219,243,447,199,196,174,206
Tmem2,408,366,446,456,370,212,261,264
Klf9,843,789,508,631,641,355,519,493
Smc5,1585,897,1081,2202,1573,773,1206,1042
Mamdc2,58,19,11,199,91,90,34,41
Ptar1,615,370,364,894,736,465,414,415
Apba1,2,0,0,0,18,0,0,11
Fam189a2,275,222,188,187,178,244,142,100
Tjp2,3789,2697,3806,3649,2767,2580,2749,2366
Fxn,565,467,553,105,390,1265,616,434
Pip5k1b,180,255,165,38,24,182,146,85
Cbwd1,1094,744,707,758,768,657,454,488
Dock8,67,76,109,259,160,226,152,138
Kank1,1132,769,943,174,637,1009,416,804
Dmrt1,0,0,2,0,0,12,31,5
Smarca2,348,300,208,131,207,324,391,122
4931403E22Rik,0,0,0,0,0,0,0,0
Vldlr,17,97,6,139,197,3,106,77
Kcnv2,34,8,12,67,69,124,92,71
Pum3,2610,1796,1731,1322,1978,1857,2015,1424
Rfx3,15,14,57,14,5,56,8,54
Glis3,2,0,0,0,1,26,12,26
Slc1a1,2710,1906,987,769,952,1360,786,520
Cdc37l1,588,300,364,235,209,472,310,192
Ak3,195,125,142,236,198,131,121,50
Gm9895,13,7,17,49,35,16,6,12
Rcl1,846,480,1037,565,1070,1327,1025,675
Jak2,130,74,82,74,90,65,63,136
Insl6,10,0,0,0,0,0,0,13
Plgrkt,286,433,515,400,705,590,509,297
A930007I19Rik,1,11,9,119,71,13,35,15
Ric1,90,50,90,102,130,73,102,40
Ermp1,532,914,587,1497,2831,671,1635,972
Mlana,18,12,12,0,5,6,0,0
9930021J03Rik,545,406,482,574,603,409,545,382
Ranbp6,15,56,23,325,51,10,40,59
Uhrf2,31,45,36,93,55,29,85,42
Gldc,1379,1682,1902,3020,4525,1626,3162,2101
Mbl2,59,2,1,9,52,7,6,19
Dkk1,74,23,47,1,15,844,241,67
Prkg1,0,0,1,0,3,0,0,0
Cstf2t,153,114,179,120,251,148,170,82
Sgms1,816,646,419,702,340,582,562,420
Minpp1,367,281,296,377,466,440,506,271
Papss2,5,11,3,180,47,12,70,54
Atad1,324,194,212,200,291,439,324,186
Pten,457,298,327,932,384,413,422,289
Rnls,11,7,23,0,2,51,22,2
Lipo3,27,4,16,4,39,54,12,12
Ankrd22,40,19,0,0,0,8,1,3
Stambpl1,148,205,233,194,246,236,161,210
Fas,43,0,0,1,18,0,0,0
Pank1,0,19,3,28,1,10,4,0
Kif20b,1255,919,1034,1075,643,792,697,749
Rpp30,1883,1817,2282,1022,2306,3267,2556,1639
Pcgf5,268,253,439,450,254,215,186,220
Hectd2,16,2,13,83,0,9,1,0
Ppp1r3c,0,0,0,37,0,0,0,0
Tnks2,1834,1143,1341,2275,2172,1064,1319,1179
Btaf1,967,503,641,1573,655,513,768,438
Cpeb3,152,313,161,222,241,76,171,158
A330032B11Rik,21,13,3,6,6,10,16,21
March5,726,558,912,755,919,824,880,523
Ide,3143,2298,2682,5144,3973,2916,3852,2560
Kif11,618,393,518,1228,563,457,542,448
Hhex,68,37,46,28,130,3,83,84
Exoc6,387,283,410,1074,460,304,322,365
Myof,186,233,168,203,358,314,153,203
Cep55,358,297,452,467,427,291,310,259
Fra10ac1,625,383,540,278,615,852,482,372
Lgi1,0,0,1,0,0,0,0,42
Slc35g1,654,690,659,613,793,512,896,511
Plce1,1,2,6,0,1,5,21,22
Noc3l,371,315,308,450,429,364,392,226
Tbc1d12,90,51,13,160,133,41,61,39
Hells,2379,1434,1595,1236,1434,1145,1961,915
Cyp2c70,0,0,11,11,15,64,1,19
Pdlim1,596,359,509,520,1509,947,828,515
Sorbs1,2586,1967,2383,1528,2732,1785,1990,1307
Aldh18a1,631,571,748,372,100,390,356,194
Tctn3,216,147,107,236,198,208,207,160
Entpd1,4565,3185,1702,397,312,4780,977,1543
Ccnj,81,80,42,10,91,142,105,89
Zfp518a,472,365,351,568,240,201,216,183
Blnk,761,685,530,15,69,635,119,156
Tll2,6,0,0,1,0,0,7,0
Tm9sf3,1194,770,766,1208,1294,1206,976,675
Pik3ap1,28,13,19,6,167,145,17,75
Lcor,1948,1132,1702,1992,1846,1226,1725,1329
Arhgap19,948,724,990,317,751,1370,649,743
Frat2,68,81,27,0,17,65,12,21
Rrp12,788,993,873,557,1008,866,957,392
Exosc1,2299,1661,2471,1373,1980,2726,2195,1597
Zdhhc16,146,183,356,166,269,562,245,295
Mms19,1118,724,731,844,1301,677,744,630
Ubtd1,166,200,114,99,358,78,190,90
Hoga1,7,2,0,0,2,8,1,5
Morn4,75,64,70,68,276,39,79,80
Pi4k2a,961,939,800,629,1169,497,775,618
Avpi1,2594,2980,3267,658,3123,5899,3450,2589
Zfyve27,369,334,214,235,334,390,296,284
Crtac1,4,9,18,0,0,0,0,1
R3hcc1l,296,124,160,80,294,173,136,113
Loxl4,2,4,6,79,1,0,0,19
Hps1,222,238,58,68,172,63,71,93
Hpse2,0,0,0,0,1,0,1,0
Cnnm1,43,0,22,0,47,0,0,0
Got1,3286,2731,4310,3025,5465,3365,4912,2861
Slc25a28,267,235,233,378,141,101,160,167
BC037704,43,52,11,2,61,11,58,30
Entpd7,25,23,51,85,35,24,121,39
Cox15,133,205,280,477,324,221,160,218
Cutc,180,203,175,152,295,327,252,201
Dnmbp,815,353,787,432,491,322,392,463
Cpn1,1861,1718,2795,1568,3894,2474,1984,2433
Cyp2c44,36,21,81,43,162,66,78,17
Erlin1,187,166,133,405,212,119,189,112
Chuk,624,264,256,321,308,233,341,279
Cwf19l1,306,311,724,621,608,697,776,339
Bloc1s2,578,283,367,273,675,339,299,217
Pkd2l1,29,89,36,27,67,71,62,167
Scd3,170,182,101,452,1492,713,605,545
Scd2,1487,1108,1232,1566,4023,2059,2704,1368
Scd1,1449,1194,1187,803,3216,2554,3272,1813
Sec31b,21,43,12,86,99,24,21,50
Ndufb8,16737,12604,13942,7670,15981,18193,12090,10698
Hif1an,787,455,567,106,499,759,574,301
Fam178a,1588,999,1333,1474,944,771,1369,788
4930414N06Rik,0,0,1,0,0,0,0,0
Sema4g,154,119,103,329,485,81,260,133
Mrpl43,863,608,984,418,756,1245,983,693
Peo1,988,724,1006,379,900,769,636,481
Lzts2,224,156,126,22,192,60,73,64
Pdzd7,0,0,0,53,0,0,0,19
Sfxn3,0,25,10,0,87,38,34,1
Btrc,4635,4585,6703,2486,5984,7204,5489,5033
Poll,400,339,454,44,371,300,441,239
Dpcd,1029,1175,1224,158,749,1874,1186,986
Npm3,78,79,79,100,93,35,66,59
Mgea5,1351,977,1196,1686,1296,906,1444,809
Kcnip2,29,15,1,1,15,0,0,8
9130011E15Rik,384,359,515,453,474,369,398,399
Ldb1,809,381,379,538,396,269,384,341
Pprc1,2444,1506,1877,814,1417,1789,1865,1360
Nolc1,5869,4164,4732,2211,4264,4149,5515,3003
Gbf1,1075,746,841,409,540,721,778,592
Nfkb2,75,43,161,66,111,1,29,46
Fbxl15,51,86,193,24,115,92,132,112
Cuedc2,1063,743,1174,670,1883,1710,1215,975
2310034G01Rik,65,56,15,1,30,25,8,46
Tmem180,611,525,587,192,783,337,823,534
Actr1a,1661,1136,1314,901,993,2005,1181,1098
Sufu,111,18,30,18,76,63,149,62
Trim8,1097,876,658,494,878,305,692,523
Arl3,67,62,17,110,125,74,45,26
Sfxn2,210,179,104,155,490,287,333,261
Wbp1l,1896,1498,1271,1121,1732,1405,1654,1013
Borcs7,1300,1169,1390,1562,2050,1806,1404,1388
As3mt,422,265,538,525,877,876,618,430
Cnnm2,937,566,353,368,383,342,272,374
Nt5c2,460,334,327,293,600,446,287,257
Ina,44,15,36,75,123,27,202,54
Pcgf6,558,528,435,551,508,452,440,288
Taf5,334,192,335,264,242,255,228,249
Usmg5,3192,2009,1957,2877,2279,2316,2057,1769
Pdcd11,2797,1496,1844,1560,1308,1131,1574,1184
Neurl1a,22,55,38,0,123,27,58,43
Sh3pxd2a,82,41,28,9,141,50,119,37
Obfc1,334,340,375,300,545,684,550,463
Gm19557,0,3,25,12,1,10,26,1
Slk,595,347,289,881,649,375,601,356
Sfr1,3116,2410,3226,969,3176,4082,2732,2446
Cfap43,13,49,14,318,234,91,145,71
Gsto1,37309,26659,56212,11162,48484,63476,40684,26383
Sorcs1,0,0,0,0,0,3,0,0
Xpnpep1,2319,1929,2852,1440,3962,3498,2497,2262
Mxi1,119,127,143,144,87,77,148,133
Smndc1,420,251,410,640,372,288,349,306
Mirt1,2,7,6,9,54,19,30,0
Smc3,3428,2497,2778,1072,2997,3648,2684,2111
Rbm20,94,86,35,65,249,99,56,178
Pdcd4,174,122,55,327,874,179,46,204
Bbip1,576,421,402,753,626,773,639,552
Shoc2,1107,642,822,510,652,701,613,521
Gpam,79,142,163,166,127,99,247,45
Gucy2g,4,0,0,0,0,5,0,0
Acsl5,59,77,76,77,64,110,24,27
Zdhhc6,889,552,645,1117,828,1250,739,504
Vti1a,626,409,312,316,386,634,469,219
4930552P12Rik,0,2,0,0,2,0,0,0
Tcf7l2,664,636,517,243,364,394,363,330
Nrap,46,27,28,18,168,47,14,58
Casp7,236,231,170,377,771,357,386,444
Plekhs1,7,12,44,18,109,22,57,16
Dclre1a,132,189,134,454,252,209,115,186
Nhlrc2,727,441,417,663,656,328,462,354
Ccdc186,605,303,562,573,412,465,512,267
Afap1l2,1,0,21,0,4,0,1,0
Ablim1,290,304,258,285,677,382,583,171
Trub1,793,404,470,330,674,772,780,624
Atrnl1,27,4,57,42,2,2,54,24
Hspa12a,136,123,142,23,7,108,110,11
E330013P04Rik,0,0,0,0,4,0,0,0
Fam204a,443,209,243,271,267,189,373,190
Cacul1,615,372,523,1135,578,330,665,433
Nanos1,117,52,35,97,56,49,63,29
Eif3a,7624,5364,5285,2214,5211,3493,5347,3085
Fam45a,662,429,698,769,801,807,653,468
Sfxn4,129,54,119,169,286,86,100,18
Prdx3,416,249,444,328,320,444,440,274
Grk5,59,34,81,133,55,12,98,34
Zfp950,621,338,424,787,555,270,408,470
Csf2ra,101,73,73,236,93,39,79,34
Fam171a1,83,4,0,8,4,12,0,0
Nmt2,1735,1192,1406,849,918,1430,1117,723
Rpp38,377,469,327,236,534,581,658,300
Acbd7,17,46,7,59,85,49,9,23
Dclre1c,1078,517,442,1133,374,310,273,333
Suv39h2,296,112,175,140,109,165,118,179
Hspa14,962,680,951,1273,1159,1784,1097,834
Cdnf,0,0,7,16,65,32,32,21
Fam107b,1324,1042,870,655,1586,1217,1072,896
Frmd4a,4,56,19,30,127,60,14,57
Prpf18,990,461,815,376,931,861,724,579
Bend7,93,138,108,83,214,134,111,47
Sephs1,920,798,1030,586,705,860,1130,772
Phyh,1258,764,1241,428,1439,1437,988,647
Mcm10,1872,1242,1683,1477,2214,1272,1720,1555
Optn,1257,921,1032,829,826,499,434,475
Camk1d,74,38,8,27,2,20,7,1
Cdc123,1266,877,1214,1337,1146,1582,1077,1304
Nudt5,2236,1520,2312,604,1640,3850,2153,1764
Sec61a2,872,657,566,1273,648,581,735,470
Dhtkd1,88,47,31,312,126,31,140,52
Upf2,1851,1167,996,1142,1283,760,1190,923
Proser2,538,804,864,102,676,363,774,708
Gm10857,14,11,36,116,45,46,12,29
Echdc3,10,1,25,10,5,69,72,72
A230108P19Rik,0,0,4,1,0,4,0,0
Usp6nl,210,164,197,244,143,162,144,133
Celf2,616,298,265,697,684,300,558,338
5031426D15Rik,40,0,1,6,1,0,0,4
Gata3,10609,8895,7001,3343,6200,5357,5812,5326
Taf3,1107,687,748,87,495,426,478,330
Atp5c1,10418,6768,10854,4394,11807,19200,7870,8508
Kin,692,346,738,450,381,624,575,422
Itih5,8,55,13,97,49,16,0,29
Sfmbt2,1727,1003,737,2328,887,548,1106,659
Mir669d,8,13,26,91,70,4,5,16
Prkcq,0,0,0,0,0,0,0,0
Pfkfb3,130,34,19,123,222,50,52,70
Rbm17,1575,1292,1476,663,1207,1630,1373,651
Il2ra,0,0,1,0,0,0,0,0
Fbxo18,349,303,261,283,579,433,399,282
Ankrd16,351,374,265,538,489,278,457,214
Itga8,0,0,0,8,0,0,4,0
Fam188a,283,170,200,49,197,387,174,100
Pter,58,29,41,23,120,210,58,70
Rsu1,636,546,464,350,634,1039,201,575
Cubn,346,121,229,65,146,298,132,58
Trdmt1,78,89,77,10,52,35,47,8
Vim,23,0,14,0,25,64,96,13
St8sia6,8,0,0,19,0,0,0,0
Hacd1,31,49,61,17,120,122,35,17
Stamos,19,93,55,9,112,31,47,40
Stam,569,215,243,331,344,277,237,163
Tmem236,10,0,0,0,0,0,0,0
Cacnb2,0,0,0,0,0,5,0,0
Nsun6,313,201,178,689,526,441,332,291
Arl5b,2567,1754,1683,1575,1324,1925,1676,1273
Plxdc2,362,194,142,43,79,191,27,46
A930004D18Rik,107,73,71,85,103,67,84,62
Gm17762,46,36,17,40,56,41,50,30
Skida1,200,121,86,158,187,114,168,319
Mllt10,1965,1204,1218,1760,1536,830,901,1012
Dnajc1,695,490,359,491,490,366,583,332
Commd3,1863,1901,2853,1576,6261,5955,2771,2386
Bmi1,124,149,97,369,197,106,76,94
Pip4k2a,247,299,150,189,47,236,137,26
Msrb2,93,115,164,13,35,255,242,77
Otud1,127,124,89,420,264,119,172,162
Etl4,1949,1310,908,2233,1712,730,986,857
Arhgap21,1012,639,655,2140,900,645,888,904
Thnsl1,40,43,41,10,20,23,57,0
Gpr158,0,0,0,0,0,0,0,0
Myo3a,0,0,0,0,0,0,0,0
Apbb1ip,13,23,15,244,68,5,137,72
Pdss1,423,307,467,589,647,577,407,292
Abi1,1164,900,1140,983,1320,814,1110,1160
Acbd5,264,148,174,444,261,249,224,200
Mastl,355,311,329,454,273,283,263,261
Yme1l1,1649,1193,1456,2824,1677,1312,1433,1394
Spopl,232,123,160,42,109,159,96,61
Il1f9,51,1,25,217,132,62,13,0
Il1f6,0,0,0,0,0,0,0,0
Il1rn,19,30,18,0,117,0,1,50
Psd4,995,610,648,202,898,573,485,311
Pax8,1,2,26,0,0,21,7,1
Cacna1b,25,32,17,0,28,41,27,0
Ehmt1,2231,1352,1314,896,793,1120,1019,882
Arrdc1,388,315,181,34,408,496,271,238
Zmynd19,689,401,499,508,477,375,675,337
Dph7,179,135,125,159,337,119,177,154
Mrpl41,4319,2828,3636,1973,4792,4619,3474,3144
Pnpla7,179,67,99,197,126,71,60,39
Tor4a,131,50,44,120,23,55,19,19
Nelfb,837,528,504,851,1411,689,877,549
Tubb4b,4019,2528,7811,426,3341,7075,4905,2698
Rnf208,310,260,172,161,319,188,128,73
Ndor1,1125,492,441,440,1124,554,625,699
Tmem203,173,118,113,58,162,136,177,97
Tprn,1263,916,553,702,1104,620,945,493
Ssna1,4387,3125,4760,1179,5206,6921,4873,4185
Anapc2,1612,1089,1519,953,1754,1137,1573,1254
Grin1,0,7,38,16,43,1,4,1
AA543186,42,0,11,43,68,37,0,3
Man1b1,789,647,467,765,817,695,573,548
Dpp7,1094,1077,1033,1178,3445,1856,1756,1529
Uap1l1,1824,1427,1895,524,2917,1188,1413,637
Sapcd2,539,375,848,238,1130,484,641,509
Entpd2,41,7,22,1,129,36,35,81
Npdc1,200,85,160,188,235,133,223,95
Abca2,188,57,151,280,279,183,190,177
BC029214,338,269,541,315,250,490,372,537
Clic3,1175,1808,2682,173,2610,2154,1858,773
C8g,75,18,4,2,77,37,51,29
Fbxw5,536,282,314,234,490,170,356,421
Traf2,934,630,952,225,539,576,734,392
Edf1,9278,6010,6864,2481,7433,7291,7324,5159
Mamdc4,43,73,49,141,139,16,92,60
Phpt1,2794,1548,2244,774,3319,2491,2124,1936
Rabl6,941,688,568,433,629,292,716,407
Tmem141,389,220,231,274,960,279,474,415
Fcna,158,18,0,52,25,0,0,5
Obp2a,261,122,104,118,553,197,115,245
Bmyc,4750,3897,4167,1432,8277,5784,5768,4916
Glt6d1,0,0,0,0,0,0,0,2
Lcn9,39,54,57,136,280,64,162,86
Camsap1,1159,633,830,869,524,586,648,412
Ubac1,1317,742,1122,1056,1444,1230,1137,628
Nacc2,165,221,43,70,321,96,188,159
C330006A16Rik,684,504,637,412,1204,768,1054,579
Dnlz,1094,832,856,156,1088,1033,867,624
Snapc4,497,291,275,656,279,240,312,197
Sdccag3,647,531,654,581,626,842,622,482
Pmpca,2124,1407,2911,1356,2442,3034,2181,1761
Sec16a,1237,1051,877,1218,1547,925,1334,958
Notch1,832,274,331,110,429,98,282,69
Egfl7,491,330,479,94,844,838,657,514
Agpat2,6363,4838,5947,3086,12151,12359,8908,6394
Fam69b,68,49,12,18,17,184,140,64
Snhg7,566,241,316,616,387,339,360,332
Abo,52,37,13,25,97,45,0,0
Surf6,805,341,672,220,725,376,477,382
Med22,779,187,239,211,448,383,304,305
Rpl7a,149,107,181,73,153,132,132,89
Surf1,1122,669,949,484,2132,1291,951,1004
Surf2,2050,1668,1914,555,2036,2730,1591,1288
Surf4,1808,1246,1546,867,1937,2918,1893,994
Rexo4,1017,734,968,438,787,1036,1231,747
Cacfd1,135,62,66,136,391,83,172,68
Vav2,240,376,365,511,593,240,735,348
Brd3,2201,1534,1835,765,1559,1330,1705,1039
Wdr5,2494,1586,2428,1662,2208,3018,2438,1888
Rxra,275,347,270,111,408,171,233,259
Olfm1,142,29,31,108,53,18,18,18
Ppp1r26,88,86,144,317,296,29,229,174
1700007K13Rik,557,385,540,98,2525,909,725,973
Mrps2,1604,949,1906,953,2392,2063,1904,1294
Gbgt1,10,79,28,53,0,42,16,22
Ralgds,925,761,762,528,585,687,690,660
Gtf3c5,448,344,439,703,352,223,409,277
Gfi1b,20,1,22,0,37,0,36,1
Tsc1,1097,549,606,516,908,885,814,636
Gtf3c4,153,119,220,377,263,360,184,179
Ddx31,370,293,335,410,328,307,411,269
Cfap77,83,50,43,0,130,104,34,35
Ttf1,1085,450,742,220,646,491,537,347
Setx,3997,2139,2483,5989,3316,2552,2666,2544
Ntng2,0,0,2,0,8,12,0,0
6530402F18Rik,28,22,59,0,13,27,22,0
Med27,3410,2588,4625,1535,4120,5994,3178,3131
